Trade Date,first,second,days_left,w1,w2,ret
2009-05-07,33.700000000000003,34.149999999999999,9,36.0,64.0,0.014029850746268613
2009-05-08,32.200000000000003,32.799999999999997,8,32.0,68.0,-0.04130869718724273
2009-05-11,32.450000000000003,33.0,7,28.0,72.0,0.006624141315014764
2009-05-12,31.949999999999999,32.850000000000001,6,24.0,76.0,-0.007550386652864893
2009-05-13,33.399999999999999,33.850000000000001,5,20.0,80.0,0.03395231966660539
2009-05-14,31.600000000000001,32.5,4,16.0,84.0,-0.042654028436018954
2009-05-15,33.149999999999999,33.200000000000003,3,12.0,88.0,0.02583755717641245
2009-05-18,29.850000000000001,30.850000000000001,2,8.0,92.0,-0.07423028258118958
2009-05-19,28.5,30.399999999999999,1,4.0,96.0,-0.016964575885603073
2009-05-20,27.039999999999999,30.5,0,0.0,100.0,0.0012399419601636374
2009-05-21,32.200000000000003,32.850000000000001,18,94.736842105263165,5.2631578947368425,0.05573770491803298
2009-05-22,32.75,33.049999999999997,17,89.473684210526315,10.526315789473685,0.016491142134051673
2009-05-26,31.149999999999999,32.0,16,84.21052631578948,15.789473684210526,-0.04704182387412703
2009-05-27,32.100000000000001,32.899999999999999,15,78.94736842105263,21.05263157894737,0.030114401076716257
2009-05-28,31.550000000000001,32.399999999999999,14,73.684210526315795,26.315789473684209,-0.016718316750937934
2009-05-29,30.350000000000001,31.5,13,68.421052631578945,31.578947368421051,-0.035282425045552346
2009-06-01,29.600000000000001,30.75,12,63.157894736842103,36.842105263157897,-0.02441950132807813
2009-06-02,29.600000000000001,31.0,11,57.89473684210526,42.10526315789474,0.003067753527916439
2009-06-03,31.149999999999999,32.649999999999999,10,52.631578947368418,47.368421052631582,0.05273709902370971
2009-06-04,30.800000000000001,32.25,9,47.368421052631582,52.631578947368418,-0.01172875196167511
2009-06-05,30.550000000000001,32.200000000000003,8,42.10526315789474,57.89473684210526,-0.004585626146406563
2009-06-08,30.25,32.0,7,36.842105263157897,63.157894736842103,-0.007684597393919357
2009-06-09,29.100000000000001,30.949999999999999,6,31.578947368421051,68.421052631578945,-0.034662190516156155
2009-06-10,29.100000000000001,31.199999999999999,5,26.315789473684209,73.684210526315795,0.005633070456712019
2009-06-11,28.100000000000001,30.600000000000001,4,21.05263157894737,78.94736842105263,-0.02301219302764901
2009-06-12,28.350000000000001,29.949999999999999,3,15.789473684210526,84.21052631578948,-0.015313265663283171
2009-06-15,30.199999999999999,31.350000000000001,2,10.526315789473685,89.473684210526315,0.049534780682321866
2009-06-16,31.850000000000001,32.399999999999999,1,5.2631578947368425,94.736842105263165,0.0356450661498271
2009-06-17,31.030000000000001,32.649999999999999,0,0.0,100.0,0.005983253394032939
2009-06-18,32.399999999999999,31.850000000000001,23,95.833333333333329,4.166666666666667,-0.007656967840735107
2009-06-19,31.350000000000001,31.550000000000001,22,91.666666666666671,8.3333333333333339,-0.03146515668232408
2009-06-22,32.75,32.549999999999997,21,87.5,12.5,0.043570669500531345
